client_id;nom;email;ville
1;Carrie Erickson;christine31@yahoo.com;Dakar
2;Brian Lopez;nparker@gmail.com;Bamako
3;Jonathan Collins;davischristopher@yahoo.com;Bamako
4;Jeremy Evans;boydmary@yahoo.com;Dakar
5;Theresa Braun;ericbennett@yahoo.com;Bamako
6;Jeremy Contreras;wesley98@miller.com;Tunis
7;Chase Smith;jesse46@hotmail.com;Paris
8;Lisa Williams;garycarter@gmail.com;Bamako
9;Jennifer Mueller;victoria48@hotmail.com;Casablanca
10;Miguel Wallace;coxemily@gmail.com;Paris
11;Alfred Stewart;yrodriguez@lee.net;Bamako
12;Michelle King;rvega@gmail.com;Paris
13;Tiffany Lee;damoncardenas@williams-thomas.com;Casablanca
14;Lisa Ingram;davidlamb@gmail.com;Tunis
15;Raven Rodriguez;andersenalexandra@hotmail.com;Tunis
16;Elizabeth Ruiz;ricecarolyn@bennett.com;Paris
17;Matthew Fernandez;qturner@yahoo.com;Dakar
18;Nancy Ramirez;jeremymoore@hotmail.com;Paris
19;Edward Ortiz;stevenwalker@cook.com;Bamako
20;Timothy Smith;adrian90@martinez.com;Dakar
21;Darrell Miller;michelle63@gmail.com;Casablanca
22;Stephen Henry;ptrujillo@morris.com;Tunis
23;Jessica Hunt;dmayer@hotmail.com;Dakar
24;Brandon Lamb;connormiller@gmail.com;Tunis
25;Thomas Ballard;bstein@king.com;Casablanca
26;Aaron Gibson;ethan69@mitchell.net;Tunis
27;Bradley Jensen;tkhan@atkinson.com;Bamako
28;Lance Conley;wesley61@gomez-norris.info;Bamako
29;Jeff Roberts;janetdixon@mendez.org;Bamako
30;Cathy Brewer;alexander86@bond.com;Dakar
